GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",2071532,2287586,2297505,2594271,4206632,4596912,3988602,4035859,4082824,5191523,5797755,6851505,6658062,6207385,6672419,6325753,6081160,5944135,6612657,7378550,7132499,7218526,7679904,6984328,6758453,6246871,7837454,8991642,8012402,7977997,7557664,8209346,8209998,8342846,9384893,10488407,10105460,11024820,13714688,16450189,14370815,16179679,18486830,21642749,22308390,20261326,16491383,17308370,17570247,17646967,16935713,17013125,22514226,27231833
 "27000","Minnesota",4,SAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",1424956,1457377,1514842,1652570,2252463,2073940,2185703,2325976,2386071,2787853,3181964,3537517,3622550,3776719,3559259,3565266,3576805,3633398,3808124,3758857,3882859,4005704,3832020,3838994,4084848,3685649,3724813,4379275,4275557,4081805,3873548,4312754,4852101,4090351,4651807,5641387,5697155,5457937,6556475,6813878,5799128,6799678,7635520,7994983,8327910,10322674,7872249,7394980,8039651,7979757,8213303,7739116,9050789,10844171
 "27000","Minnesota",4,SAINC45,30,"...","  Meat animals and other livestock ","Thousands of dollars",870080,874077,922378,1032441,1397312,1198454,1280234,1305907,1338727,1641180,1859967,2066255,2007372,2120416,1840963,1855259,1892264,1958564,2206561,2138436,2084618,2181587,2160502,2099629,2349594,1975071,2023985,2303154,2409428,2044342,1951619,2590673,2925983,2436138,2909986,3480193,3627034,3498034,3832416,4064430,3746158,4353847,4732531,5058798,5348860,6773899,4888354,4610786,5250920,5349160,5333671,4681284,5887075,6496945
 "27000","Minnesota",4,SAINC45,31,"...","   Cattle and calves ","Thousands of dollars",529087,545629,619246,653705,813660,633837,644534,749097,739334,848367,1059981,1196076,1082824,1127052,953087,991615,1039810,1062444,1214757,1226454,1119207,1053710,1096810,1089610,1254446,980781,986740,995479,1022798,868188,890755,1077438,1135683,1038515,1224253,1223291,1248779,1208443,1364523,1346604,1193936,1424503,1497661,1680948,1888881,2713177,2096760,1936594,2175809,2297377,2035268,1876774,1884914,2354588
 "27000","Minnesota",4,SAINC45,32,"...","   Hogs and pigs ","Thousands of dollars",309023,298897,278716,353671,551277,535543,604741,521230,567233,757766,760234,833990,890935,956225,845131,822960,814842,850065,950776,848322,902121,1091378,1025720,962675,1050161,946232,985506,1245607,1315386,1103551,1006448,1456269,1726035,1326127,1588319,2163095,2282529,2197108,2374429,2521502,2337782,2728590,3042886,3173170,3257362,3845617,2573448,2450020,2820919,2809832,3060819,2599412,3762208,3918280
 "27000","Minnesota",4,SAINC45,33,"...","   Sheep and other livestock ","Thousands of dollars",31970,29551,24416,25065,32375,29074,30959,35580,32160,35047,39752,36189,33613,37139,42745,40684,37612,46055,41028,63660,63290,36499,37972,47344,44987,48058,51739,62068,71244,72603,54416,56966,64265,71496,97414,93807,95726,92483,93464,196324,214440,200754,191984,204680,202617,215105,218146,224172,254192,241951,237584,205098,239953,224077
 "27000","Minnesota",4,SAINC45,40,"...","  Dairy products ","Thousands of dollars",422772,442807,461539,479165,570531,666699,675323,785064,816973,880685,1026158,1173660,1306692,1333046,1402049,1290333,1285133,1238325,1216243,1194425,1304730,1308119,1149315,1250305,1226240,1194086,1181688,1362180,1200290,1425935,1312220,1126560,1297343,1011318,1044224,1336334,1246630,1074320,1692108,1658262,1194476,1449322,1800925,1757728,1842732,2237456,1646832,1606248,1738704,1611885,1895839,2023266,1983008,2626441
 "27000","Minnesota",4,SAINC45,50,"...","  Poultry and poultry products ","Thousands of dollars",132104,140493,130925,140964,284620,208787,230146,235005,230371,265988,295839,297602,308486,323257,316247,419674,399408,436509,385320,425996,493511,515998,522203,489060,509014,516492,519140,713941,665839,611528,609709,595521,628775,642895,697597,824860,823491,885583,1031951,1091186,858494,996509,1102064,1178457,1136318,1311319,1337063,1177946,1050027,1018712,983793,1034566,1180706,1720785
 "27000","Minnesota",4,SAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",646576,830209,782663,941701,1954169,2522972,1802899,1709883,1696753,2403670,2615791,3313988,3035512,2430666,3113160,2760487,2504355,2310737,2804533,3619693,3249640,3212822,3847884,3145334,2673605,2561222,4112641,4612367,3736845,3896192,3684116,3896592,3357897,4252495,4733086,4847020,4408305,5566883,7158213,9636311,8571687,9380001,10851310,13647766,13980480,9938652,8619134,9913390,9530596,9667210,8722410,9274009,13463437,16387662
 "27000","Minnesota",4,SAINC45,70,"...","  Total grains ","Thousands of dollars",539525,704538,652907,796061,1716609,2203600,1507765,1426440,1385371,2095737,2270452,2909745,2678392,1999978,2704426,2324869,2038993,1814516,2211493,3034321,2605081,2534196,3218128,2432236,2036929,1742177,3417312,3797273,2971313,3095152,2890852,3149549,2551497,3405219,3666178,3873442,3284867,4340925,5895184,8277193,7251655,8023175,9353927,12112836,12303434,8577507,7351241,8656609,8305885,8426790,7579440,8079720,12012781,14739595
